year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2014,Deadwood,Boreal wet forest,62.58739132778727
2014,Deadwood,Cool temperate moist forest,61.11337724490997
2014,Deadwood,Cool temperate steppe,60.140970631452355
2014,Deadwood,Cool temperate wet forest,60.85657450445541
2014,Deadwood,Polar rain tundra,64.46830731862116
2014,Litter,Boreal wet forest,17.370138448655332
2014,Litter,Cool temperate moist forest,16.63384674062198
2014,Litter,Cool temperate steppe,16.115211088489698
2014,Litter,Cool temperate wet forest,16.52198297478601
2014,Litter,Polar rain tundra,18.253967839051047
2014,Soil Carbon,Boreal wet forest,65.88542315711348
2014,Soil Carbon,Cool temperate moist forest,64.63189735211525
2014,Soil Carbon,Cool temperate steppe,63.711853122492016
2014,Soil Carbon,Cool temperate wet forest,64.45809752325084
2014,Soil Carbon,Polar rain tundra,67.33001724183572
2014,Total Biomass,Boreal wet forest,21.020545751333586
2014,Total Biomass,Cool temperate moist forest,21.02054575133748
2014,Total Biomass,Cool temperate steppe,21.02054575133646
2014,Total Biomass,Cool temperate wet forest,21.020545751336442
2014,Total Biomass,Polar rain tundra,21.020545751336215
