year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
2010,Deadwood,Boreal wet forest,381917247.44476736,5190377.072927469,73.58179224334445,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Cool temperate moist forest,485359000.6118585,6692252.221012427,72.52550928787794,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Cool temperate steppe,2993498.2755331434,41655.13748523968,71.86384336371178,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Cool temperate wet forest,13341652.530735178,184465.87289243154,72.3258580112277,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Polar rain tundra,31085577.4998072,414548.85008504183,74.9865244914567,"Modified Decay, Turnover and Spinup parameters"
2010,Litter,Boreal wet forest,78526652.68218192,5190377.072927469,15.129277040731731,"Modified Decay, Turnover and Spinup parameters"
2010,Litter,Cool temperate moist forest,97850471.01691525,6692252.221012427,14.62145594418617,"Modified Decay, Turnover and Spinup parameters"
2010,Litter,Cool temperate steppe,594263.8018205551,41655.13748523968,14.266278728071178,"Modified Decay, Turnover and Spinup parameters"
2010,Litter,Cool temperate wet forest,2682722.0488020503,184465.87289243154,14.543188974398744,"Modified Decay, Turnover and Spinup parameters"
2010,Litter,Polar rain tundra,6526222.727762696,414548.85008504183,15.742952191096144,"Modified Decay, Turnover and Spinup parameters"
2010,Soil Carbon,Boreal wet forest,345473154.4866056,5190377.072927469,66.56031915071486,"Modified Decay, Turnover and Spinup parameters"
2010,Soil Carbon,Cool temperate moist forest,436572577.77948874,6692252.221012427,65.23552361172702,"Modified Decay, Turnover and Spinup parameters"
2010,Soil Carbon,Cool temperate steppe,2676895.917046654,41655.13748523968,64.26328368247977,"Modified Decay, Turnover and Spinup parameters"
2010,Soil Carbon,Cool temperate wet forest,11999824.156550456,184465.87289243154,65.0517299942411,"Modified Decay, Turnover and Spinup parameters"
2010,Soil Carbon,Polar rain tundra,28225511.377220906,414548.85008504183,68.0872986897217,"Modified Decay, Turnover and Spinup parameters"
2010,Total Biomass,Boreal wet forest,40498385.66845538,5190377.072927469,7.802590274161629,"Modified Decay, Turnover and Spinup parameters"
2010,Total Biomass,Cool temperate moist forest,52216902.09191807,6692252.221012427,7.802590274163117,"Modified Decay, Turnover and Spinup parameters"
2010,Total Biomass,Cool temperate steppe,325017.9706112354,41655.13748523968,7.802590274162561,"Modified Decay, Turnover and Spinup parameters"
2010,Total Biomass,Cool temperate wet forest,1439311.6257453822,184465.87289243154,7.802590274162499,"Modified Decay, Turnover and Spinup parameters"
2010,Total Biomass,Polar rain tundra,3234554.825838821,414548.85008504183,7.8025902741625615,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Boreal wet forest,365342854.6000514,5190377.072927469,70.38849961511394,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Cool temperate moist forest,463075414.7909188,6692252.221012427,69.19575047350251,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Cool temperate steppe,2850504.325740751,41655.13748523968,68.43103871043074,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Cool temperate wet forest,12724082.399862532,184465.87289243154,68.97797516878575,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Polar rain tundra,29825352.44129333,414548.85008504183,71.94653280349195,"Modified Decay, Turnover and Spinup parameters"
2011,Litter,Boreal wet forest,82005261.58384201,5190377.072927469,15.799480544790075,"Modified Decay, Turnover and Spinup parameters"
2011,Litter,Cool temperate moist forest,101954653.78672704,6692252.221012427,15.234729717240542,"Modified Decay, Turnover and Spinup parameters"
2011,Litter,Cool temperate steppe,618057.4717098831,41655.13748523968,14.837484858353646,"Modified Decay, Turnover and Spinup parameters"
2011,Litter,Cool temperate wet forest,2794394.8418177543,184465.87289243154,15.148573543721353,"Modified Decay, Turnover and Spinup parameters"
2011,Litter,Polar rain tundra,6831133.58422581,414548.85008504183,16.478476741219882,"Modified Decay, Turnover and Spinup parameters"
2011,Soil Carbon,Boreal wet forest,343771261.6600823,5190377.072927469,66.23242528046019,"Modified Decay, Turnover and Spinup parameters"
2011,Soil Carbon,Cool temperate moist forest,434500936.46192634,6692252.221012427,64.9259654466809,"Modified Decay, Turnover and Spinup parameters"
2011,Soil Carbon,Cool temperate steppe,2664600.8185338797,41655.13748523968,63.96811964617977,"Modified Decay, Turnover and Spinup parameters"
2011,Soil Carbon,Cool temperate wet forest,11943133.974308394,184465.87289243154,64.74440928850211,"Modified Decay, Turnover and Spinup parameters"
2011,Soil Carbon,Polar rain tundra,28081379.147056483,414548.85008504183,67.73961414027751,"Modified Decay, Turnover and Spinup parameters"
2011,Total Biomass,Boreal wet forest,63127753.41789802,5190377.072927469,12.16245997755473,"Modified Decay, Turnover and Spinup parameters"
2011,Total Biomass,Cool temperate moist forest,81394249.79777601,6692252.221012427,12.162459977556317,"Modified Decay, Turnover and Spinup parameters"
2011,Total Biomass,Cool temperate steppe,506628.94252384186,41655.13748523968,12.16245997755652,"Modified Decay, Turnover and Spinup parameters"
2011,Total Biomass,Cool temperate wet forest,2243558.7962792227,184465.87289243154,12.162459977556498,"Modified Decay, Turnover and Spinup parameters"
2011,Total Biomass,Polar rain tundra,5041933.797901463,414548.85008504183,12.162459977556674,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Boreal wet forest,350466832.33683264,5190377.072927469,67.52242224651374,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Cool temperate moist forest,443144632.01550263,6692252.221012427,66.21756284440549,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Cool temperate steppe,2722962.838314077,41655.13748523968,65.36919579917237,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Cool temperate wet forest,12171897.00315273,184465.87289243154,65.98454669309258,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Polar rain tundra,28690038.6812533,414548.85008504183,69.20785976216732,"Modified Decay, Turnover and Spinup parameters"
2012,Litter,Boreal wet forest,85104473.76759398,5190377.072927469,16.396587872486396,"Modified Decay, Turnover and Spinup parameters"
2012,Litter,Cool temperate moist forest,105560783.32000946,6692252.221012427,15.773581125434609,"Modified Decay, Turnover and Spinup parameters"
2012,Litter,Cool temperate steppe,638749.0901945629,41655.13748523968,15.334221149093578,"Modified Decay, Turnover and Spinup parameters"
